Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
"ZOETIS, LLC",Zoetis,"$14,700 ",$0 ,"$14,700 ",2015,20151104,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Illinois,CHICAGO HEIGHTS,400 STATE STREET,60411,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New Jersey,publicly traded,ZTS,pharmaceuticals,animal health products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"TEVA PHARMACEUTICAL USA, INC.",Teva Pharmaceutical Industries,"$5,000 ",$0 ,"$5,000 ",2016,20160226,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Ohio,CINCINNATI,5040 DURAMED CIRCLE,45213,325412,325412: Pharmaceutical Preparation Manufacturing,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"SUN PHARMACEUTICAL INDUSTRIES, INC.",Sun Pharmaceuticals,"$9,620 ",$0 ,"$9,620 ",2016,20160308,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,CRANBURY,270 PROSPECT PLAINS RD.,8512,325412,325412: Pharmaceutical Preparation Manufacturing,India,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"AMNEAL PHARMACEUTICALS, LLC.",Amneal Pharmaceuticals,"$26,725 ",$0 ,"$26,725 ",2016,20160623,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,PATERSON,209 MCLEAN BLVD.,7504,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New Jersey,publicly traded,AMRX,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
SHIRE PLC,Takeda Pharmaceutical,"$19,070 ",$0 ,"$19,070 ",2016,20160815,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,LOS ANGELES,4501 COLORADO ST.,90039,541380,541380: Testing Laboratories,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"IDEXX DISTRIBUTION, INC.",IDEXX Laboratories,"$9,600 ",$0 ,"$9,600 ",2017,20170202,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Tennessee,MEMPHIS,6100 EAST SHELBY DR.,38141,541940,541940: Veterinary Services,USA,Maine,publicly traded,IDXX,pharmaceuticals,veterinary medical products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"AMNEAL PHARMACEUTICALS, LLC",Amneal Pharmaceuticals,"$6,791 ",$0 ,"$6,791 ",2017,20170216,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,PISCATAWAY,1 NEW ENGLAND AVE,8854,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New Jersey,publicly traded,AMRX,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"ETHICON, INC.",Johnson & Johnson,"$6,518 ",$0 ,"$6,518 ",2017,20170503,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Texas,SAN ANGELO,3348 PULLIAM ST,76905,339112,339112: Surgical and Medical Instrument Manufacturing,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
ALCAMI CORPORATION,Alcami,"$6,652 ",$0 ,"$6,652 ",2018,20180702,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,EDISON,165 FIELDCREST DR,8837,325412,325412: Pharmaceutical Preparation Manufacturing,USA,North Carolina,privately held,,pharmaceuticals,pharmaceutical manufacturing services,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"JOHNSON & JOHNSON CONSUMER, INC.",Johnson & Johnson,"$7,853 ",$0 ,"$7,853 ",2018,20180705,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Pennsylvania,FORT WASHINGTON,7050 CAMP HILL ROAD,19034,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
SIGMA-ALDRICH,Merck KGaA (EMD),"$23,632 ",$0 ,"$23,632 ",2018,20181016,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Missouri,SAINT LOUIS,3506 SOUTH BROADWAY,63118,325188,325188: All Other Basic Inorganic Chemical Manufacturing,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"CAMBREX CHARLES CITY, INC.",Cambrex,"$18,000 ",$0 ,"$18,000 ",2018,20181024,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Iowa,CHARLES CITY,1205 11TH ST,50616,325411,325411: Medicinal and Botanical Manufacturing,USA,New Jersey,privately held,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"TARO PHARMACEUTICALS USA, INC.",Taro Pharmaceutical Industries,"$18,565 ",$0 ,"$18,565 ",2019,20190206,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,CRANBURY,1 COMMERCE DR.,8512,493110,493110: General Warehousing and Storage,Israel,,publicly traded,TARO,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
CSL PLASMA,CSL Limited,"$15,422 ",$0 ,"$15,422 ",2019,20190909,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Florida,MARGATE,1406 N STATE ROAD 7,33063,621991,621991: Blood and Organ Banks,Australia,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"WOCKHARDT USA MORTON GROVE DBA MORTON GROVE PHARMACEUTICALS, INC.",Wockhardt Limited,"$7,900 ",$0 ,"$7,900 ",2019,20190918,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Illinois,MORTON GROVE,6451 MAIN STREET,60053,424210,424210: Drugs and Druggists' Sundries Merchant Wholesalers,India,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
PHARMAVITE LLC,Otsuka Pharmaceutical,"$5,775 ",$0 ,"$5,775 ",2019,20190930,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SAN FERNANDO,1150 AVIATION PL,91340,325411,325411: Medicinal and Botanical Manufacturing,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"ETHICON, INC.",Johnson & Johnson,"$9,832 ",$0 ,"$9,832 ",2020,20200428,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Texas,SAN ANGELO,3348 PULLIAM ST,76905,339112,339112: Surgical and Medical Instrument Manufacturing,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
HIKMA PHARMACEUTICALS,Hikma Pharmaceuticals,"$40,959 ",$0 ,"$40,959 ",2020,20201005,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,CHERRY HILL,2 ESTERBROOK LANE,8003,325412,325412: Pharmaceutical Preparation Manufacturing,United Kingdom,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
EMD MILLIPORE CORPORATION,Merck KGaA (EMD),"$10,240 ",$0 ,"$10,240 ",2021,20210426,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Hampshire,JAFFREY,11 PRESCOTT RD.,3452,334516,334516: Analytical Laboratory Instrument Manufacturing,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
PBM NUTRITIONALS LLC,Perrigo,"$14,502 ",$0 ,"$14,502 ",2021,20210812,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Ohio,COVINGTON,400 HAZEL STREET,45318,311514,"311514: Dry, Condensed, and Evaporated Dairy Product Manufacturing",Ireland,,publicly traded,PRGO,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
BRISTOL - MYERS SQUIBB MEDICAL IMAGING INC,Bristol-Myers Squibb,"$19,538 ",$0 ,"$19,538 ",2009,20090505,environment-related offenses,environmental violation,,,federal,agency action,Environmental Protection Agency,civil,,,01-2005-1027,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",
PFIZER INC / GROTON SITE,Pfizer,"$22,500 ",$0 ,"$22,500 ",2005,20050111,environment-related offenses,environmental violation,,,federal,agency action,Environmental Protection Agency,civil,,,01-2005-3001,,,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",
PFIZER GLOBAL MANUFACTURING,Pfizer,"$975,000 ","$975,000 ",$0 ,2008,20080721,environment-related offenses,environmental violation,,,federal,agency action,Environmental Protection Agency,civil,,,01-2007-1206,,,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case).
MILLIPORE CORP,Merck KGaA (EMD),"$526,500 ",$0 ,"$526,500 ",2010,20101221,environment-related offenses,environmental violation,,,federal,agency action,Environmental Protection Agency,civil,,,01-2010-4000,,,Massachusetts,BILLERICA,900 MIDDLESEX TURNPIKE,1821,,,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",
EMD MILLLIPORE CORP,Merck KGaA (EMD),"$2,681,500 ","$2,681,500 ",$0 ,2013,20130725,environment-related offenses,environmental violation,,,federal,agency action,Environmental Protection Agency,civil,,,01-2013-4003,,,Massachusetts,BILLERICA,290 CONCORD RAOD,1821,,,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case).
EMD MILLIPORE CORPORATION,Merck KGaA (EMD),"$385,000 ","$385,000 ",$0 ,2017,20170316,environment-related offenses,environmental violation,,,federal,agency action,Environmental Protection Agency,civil,,,01-2015-2035,,,,,,,,,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case).
"MILLIPORE, CIDRA, INC.",Merck KGaA (EMD),"$9,000 ",$0 ,"$9,000 ",2000,20000512,environment-related offenses,environmental violation,,,federal,agency action,Environmental Protection Agency,civil,,,02-1996-0112,,,,,,,,,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",
